"Timestep"	"Time(s)"	"Time(day)"	"Var"	"X"	"Y"	"Z"	"Value"
52	759266	8.787806e+00	"INITIAL_T"	0.0777778	0.388889	0.388889	3.95253e-322
52	759266	8.787806e+00	"UX"	0.1	0.5	0.5	-7.81711e-05
52	759266	8.787806e+00	"UY"	0.1	0.5	0.5	-0.000685317
52	759266	8.787806e+00	"UZ"	0.1	0.5	0.5	-0.000635858
52	759266	8.787806e+00	"STOTXX"	0.1	0.5	0.5	2.37832e+07
52	759266	8.787806e+00	"STOTYY"	0.1	0.5	0.5	2.09401e+07
52	759266	8.787806e+00	"STOTZZ"	0.1	0.5	0.5	1.98354e+07
52	759266	8.787806e+00	"STOTYZ"	0.1	0.5	0.5	-925672
52	759266	8.787806e+00	"STOTXZ"	0.1	0.5	0.5	-524769
52	759266	8.787806e+00	"STOTXY"	0.1	0.5	0.5	-387968
52	759266	8.787806e+00	"T"	0.1	0.5	0.5	350
52	759266	8.787806e+00	"INITIAL_T"	0.1	0.5	0.5	5.30132e-321
52	759266	8.787806e+00	"UX"	-0.1	-0.5	-0.5	0.000115332
52	759266	8.787806e+00	"UY"	-0.1	-0.5	-0.5	0.000689128
52	759266	8.787806e+00	"UZ"	-0.1	-0.5	-0.5	0.000667131
52	759266	8.787806e+00	"STOTXX"	-0.1	-0.5	-0.5	1.82759e+07
52	759266	8.787806e+00	"STOTYY"	-0.1	-0.5	-0.5	1.40284e+07
52	759266	8.787806e+00	"STOTZZ"	-0.1	-0.5	-0.5	1.47414e+07
52	759266	8.787806e+00	"STOTYZ"	-0.1	-0.5	-0.5	-409381
52	759266	8.787806e+00	"STOTXZ"	-0.1	-0.5	-0.5	577594
52	759266	8.787806e+00	"STOTXY"	-0.1	-0.5	-0.5	-1.80697e+06
52	759266	8.787806e+00	"T"	-0.1	-0.5	-0.5	350
52	759266	8.787806e+00	"INITIAL_T"	-0.1	-0.5	-0.5	5.77563e-321
52	759266	8.787806e+00	"UX"	-0.0555556	-0.277778	-0.277778	4.89541e-05
52	759266	8.787806e+00	"UY"	-0.0555556	-0.277778	-0.277778	0.000380865
52	759266	8.787806e+00	"UZ"	-0.0555556	-0.277778	-0.277778	0.00033729
52	759266	8.787806e+00	"STOTXX"	-0.0555556	-0.277778	-0.277778	2.0102e+07
52	759266	8.787806e+00	"STOTYY"	-0.0555556	-0.277778	-0.277778	2.02146e+07
52	759266	8.787806e+00	"STOTZZ"	-0.0555556	-0.277778	-0.277778	1.93909e+07
52	759266	8.787806e+00	"STOTYZ"	-0.0555556	-0.277778	-0.277778	-668777
52	759266	8.787806e+00	"STOTXZ"	-0.0555556	-0.277778	-0.277778	470582
52	759266	8.787806e+00	"STOTXY"	-0.0555556	-0.277778	-0.277778	-656709
52	759266	8.787806e+00	"T"	-0.0555556	-0.277778	-0.277778	350
52	759266	8.787806e+00	"INITIAL_T"	-0.0555556	-0.277778	-0.277778	3.95253e-322
52	759266	8.787806e+00	"UX"	-0.0333333	-0.166667	-0.166667	2.82197e-05
52	759266	8.787806e+00	"UY"	-0.0333333	-0.166667	-0.166667	0.000228107
52	759266	8.787806e+00	"UZ"	-0.0333333	-0.166667	-0.166667	0.000195059
52	759266	8.787806e+00	"STOTXX"	-0.0333333	-0.166667	-0.166667	2.0102e+07
52	759266	8.787806e+00	"STOTYY"	-0.0333333	-0.166667	-0.166667	2.02146e+07
52	759266	8.787806e+00	"STOTZZ"	-0.0333333	-0.166667	-0.166667	1.93909e+07
52	759266	8.787806e+00	"STOTYZ"	-0.0333333	-0.166667	-0.166667	-668777
52	759266	8.787806e+00	"STOTXZ"	-0.0333333	-0.166667	-0.166667	470582
52	759266	8.787806e+00	"STOTXY"	-0.0333333	-0.166667	-0.166667	-656709
52	759266	8.787806e+00	"T"	-0.0333333	-0.166667	-0.166667	350
