time,bname,vname,u
2.621600e+02,ZP,UZ,-1.257770e-04
2.636600e+02,ZP,UZ,-1.246711e-04
2.651700e+02,ZP,UZ,-1.243947e-04
2.666800e+02,ZP,UZ,-1.246711e-04
2.681900e+02,ZP,UZ,-1.249477e-04
2.696900e+02,ZP,UZ,-1.255004e-04
2.712000e+02,ZP,UZ,-1.255004e-04
2.742100e+02,ZP,UZ,-1.246711e-04
2.757200e+02,ZP,UZ,-1.249477e-04
2.772300e+02,ZP,UZ,-1.249477e-04
2.787300e+02,ZP,UZ,-1.255004e-04
2.802400e+02,ZP,UZ,-1.257770e-04
2.817500e+02,ZP,UZ,-1.257770e-04
2.832500e+02,ZP,UZ,-1.257770e-04
2.847600e+02,ZP,UZ,-1.257770e-04
2.862700e+02,ZP,UZ,-1.255004e-04
2.877800e+02,ZP,UZ,-1.255004e-04
2.892800e+02,ZP,UZ,-1.255004e-04
2.907900e+02,ZP,UZ,-1.219068e-04
2.922900e+02,ZP,UZ,-1.097437e-04
2.938000e+02,ZP,UZ,-1.064265e-04
2.953000e+02,ZP,UZ,-1.125080e-04
2.968100e+02,ZP,UZ,-1.224597e-04
2.983200e+02,ZP,UZ,-1.346228e-04
2.998300e+02,ZP,UZ,-1.434686e-04
3.013300e+02,ZP,UZ,-1.583959e-04
3.028400e+02,ZP,UZ,-1.766405e-04
3.043500e+02,ZP,UZ,-1.915678e-04
3.058500e+02,ZP,UZ,-2.020722e-04
3.073600e+02,ZP,UZ,-2.172762e-04
3.088700e+02,ZP,UZ,-2.178291e-04
3.103700e+02,ZP,UZ,-2.181055e-04
3.118800e+02,ZP,UZ,-2.194875e-04
3.133900e+02,ZP,UZ,-2.192111e-04
3.148900e+02,ZP,UZ,-2.181055e-04
3.179100e+02,ZP,UZ,-2.178291e-04
3.194100e+02,ZP,UZ,-2.181055e-04
3.209200e+02,ZP,UZ,-2.192111e-04
3.224300e+02,ZP,UZ,-2.192111e-04
3.239300e+02,ZP,UZ,-2.183818e-04
3.254400e+02,ZP,UZ,-2.178291e-04
3.269400e+02,ZP,UZ,-2.186584e-04
3.284500e+02,ZP,UZ,-2.181055e-04
3.299600e+02,ZP,UZ,-2.178291e-04
3.314600e+02,ZP,UZ,-2.192111e-04
3.329700e+02,ZP,UZ,-2.186584e-04
3.344800e+02,ZP,UZ,-2.178291e-04
3.359900e+02,ZP,UZ,-2.181055e-04
3.374900e+02,ZP,UZ,-2.194875e-04
3.390000e+02,ZP,UZ,-2.183818e-04
3.405100e+02,ZP,UZ,-2.181055e-04
3.420100e+02,ZP,UZ,-2.186584e-04
3.435200e+02,ZP,UZ,-2.186584e-04
3.465300e+02,ZP,UZ,-2.192111e-04
3.480300e+02,ZP,UZ,-2.183818e-04
3.495400e+02,ZP,UZ,-2.178291e-04
3.510500e+02,ZP,UZ,-2.192111e-04
3.525600e+02,ZP,UZ,-2.183818e-04
3.540600e+02,ZP,UZ,-2.181055e-04
3.555700e+02,ZP,UZ,-2.189348e-04
3.570800e+02,ZP,UZ,-2.178291e-04
3.585900e+02,ZP,UZ,-2.178291e-04
3.600900e+02,ZP,UZ,-2.183818e-04
3.616000e+02,ZP,UZ,-2.175525e-04
3.631000e+02,ZP,UZ,-2.186584e-04
3.646100e+02,ZP,UZ,-2.178291e-04
3.661200e+02,ZP,UZ,-2.181055e-04
3.676200e+02,ZP,UZ,-2.181055e-04
3.691300e+02,ZP,UZ,-2.178291e-04
3.706400e+02,ZP,UZ,-2.183818e-04
3.721500e+02,ZP,UZ,-2.178291e-04
3.751600e+02,ZP,UZ,-2.178291e-04
3.766700e+02,ZP,UZ,-2.178291e-04
3.781700e+02,ZP,UZ,-2.189348e-04
3.796800e+02,ZP,UZ,-2.178291e-04
3.811900e+02,ZP,UZ,-2.181055e-04
3.826900e+02,ZP,UZ,-2.186584e-04
3.842000e+02,ZP,UZ,-2.178291e-04
3.857000e+02,ZP,UZ,-2.178291e-04
3.872100e+02,ZP,UZ,-2.192111e-04
3.887200e+02,ZP,UZ,-2.186584e-04
3.902200e+02,ZP,UZ,-2.178291e-04
3.917300e+02,ZP,UZ,-2.178291e-04
3.932400e+02,ZP,UZ,-2.183818e-04
3.947500e+02,ZP,UZ,-2.181055e-04
3.962500e+02,ZP,UZ,-2.186584e-04
3.977600e+02,ZP,UZ,-2.178291e-04
3.992600e+02,ZP,UZ,-2.178291e-04
4.007700e+02,ZP,UZ,-2.189348e-04
4.022800e+02,ZP,UZ,-2.175525e-04
4.037800e+02,ZP,UZ,-2.178291e-04
4.052900e+02,ZP,UZ,-2.186584e-04
4.068000e+02,ZP,UZ,-2.175525e-04
4.083000e+02,ZP,UZ,-2.178291e-04
4.098100e+02,ZP,UZ,-2.192111e-04
4.113200e+02,ZP,UZ,-2.183818e-04
4.128200e+02,ZP,UZ,-2.178291e-04
4.143200e+02,ZP,UZ,-2.178291e-04
4.158300e+02,ZP,UZ,-2.192111e-04
4.173400e+02,ZP,UZ,-2.178291e-04
4.188400e+02,ZP,UZ,-2.178291e-04
