,time,ten9_comp,Total Stress,S3 Magnitude,Pressure,Temperature
130,5818.5849609375,yy,-7.932685e+07,-7.932685e+07,6.6544812e+07,345.27612
131,5818.5849609375,yz,1901.2094,-7.932685e+07,6.6544812e+07,345.27612
132,5818.5849609375,zx,-2671.3223,-7.932685e+07,6.6544812e+07,345.27612
133,5818.5849609375,zy,1901.2094,-7.932685e+07,6.6544812e+07,345.27612
134,5818.5849609375,zz,-9.88128e+07,-7.932685e+07,6.6544812e+07,345.27612
135,8737.8779296875,xx,-7.925059e+07,-7.923991e+07,6.6672584e+07,343.4874
136,8737.8779296875,xy,5.4187727e-10,-7.923991e+07,6.6672584e+07,343.4874
137,8737.8779296875,xz,-3908.074,-7.923991e+07,6.6672584e+07,343.4874
138,8737.8779296875,yx,5.4187727e-10,-7.923991e+07,6.6672584e+07,343.4874
139,8737.8779296875,yy,-7.923991e+07,-7.923991e+07,6.6672584e+07,343.4874
140,8737.8779296875,yz,-3288.53,-7.923991e+07,6.6672584e+07,343.4874
141,8737.8779296875,zx,-3908.074,-7.923991e+07,6.6672584e+07,343.4874
142,8737.8779296875,zy,-3288.53,-7.923991e+07,6.6672584e+07,343.4874
143,8737.8779296875,zz,-9.8582056e+07,-7.923991e+07,6.6672584e+07,343.4874
144,13116.81640625,xx,-7.877336e+07,-7.874743e+07,6.681583e+07,339.49835
145,13116.81640625,xy,4.811058e-10,-7.874743e+07,6.681583e+07,339.49835
146,13116.81640625,xz,-10654.959,-7.874743e+07,6.681583e+07,339.49835
147,13116.81640625,yx,4.811058e-10,-7.874743e+07,6.681583e+07,339.49835
148,13116.81640625,yy,-7.874744e+07,-7.874743e+07,6.681583e+07,339.49835
149,13116.81640625,yz,-10417.721,-7.874743e+07,6.681583e+07,339.49835
150,13116.81640625,zx,-10654.959,-7.874743e+07,6.681583e+07,339.49835
151,13116.81640625,zy,-10417.721,-7.874743e+07,6.681583e+07,339.49835
152,13116.81640625,zz,-9.772354e+07,-7.874743e+07,6.681583e+07,339.49835
153,19685.224609375,xx,-7.742311e+07,-7.738905e+07,6.7022064e+07,328.53027
154,19685.224609375,xy,3.1592362e-10,-7.738905e+07,6.7022064e+07,328.53027
155,19685.224609375,xz,-26353.484,-7.738905e+07,6.7022064e+07,328.53027
156,19685.224609375,yx,3.1592362e-10,-7.738905e+07,6.7022064e+07,328.53027
157,19685.224609375,yy,-7.7389096e+07,-7.738905e+07,6.7022064e+07,328.53027
158,19685.224609375,yz,-28981.395,-7.738905e+07,6.7022064e+07,328.53027
159,19685.224609375,zx,-26353.484,-7.738905e+07,6.7022064e+07,328.53027
160,19685.224609375,zy,-28981.395,-7.738905e+07,6.7022064e+07,328.53027
161,19685.224609375,zz,-9.547391e+07,-7.738905e+07,6.7022064e+07,328.53027
162,29537.837890625,xx,-7.644353e+07,-7.640261e+07,6.719224e+07,320.0436
163,29537.837890625,xy,1.8598834e-10,-7.640261e+07,6.719224e+07,320.0436
164,29537.837890625,xz,-37435.375,-7.640261e+07,6.719224e+07,320.0436
165,29537.837890625,yx,1.8598834e-10,-7.640261e+07,6.719224e+07,320.0436
166,29537.837890625,yy,-7.640271e+07,-7.640261e+07,6.719224e+07,320.0436
167,29537.837890625,yz,-42241.26,-7.640261e+07,6.719224e+07,320.0436
168,29537.837890625,zx,-37435.375,-7.640261e+07,6.719224e+07,320.0436
169,29537.837890625,zy,-42241.26,-7.640261e+07,6.719224e+07,320.0436
170,29537.837890625,zz,-9.378059e+07,-7.640261e+07,6.719224e+07,320.0436
171,44316.7578125,xx,-7.572552e+07,-7.569092e+07,6.736018e+07,313.22525
172,44316.7578125,xy,8.026165e-11,-7.569092e+07,6.736018e+07,313.22525
173,44316.7578125,xz,-45113.645,-7.569092e+07,6.736018e+07,313.22525
174,44316.7578125,yx,8.026165e-11,-7.569092e+07,6.736018e+07,313.22525
175,44316.7578125,yy,-7.569108e+07,-7.569092e+07,6.736018e+07,313.22525
176,44316.7578125,yz,-51967.15,-7.569092e+07,6.736018e+07,313.22525
177,44316.7578125,zx,-45113.645,-7.569092e+07,6.736018e+07,313.22525
178,44316.7578125,zy,-51967.15,-7.569092e+07,6.736018e+07,313.22525
179,44316.7578125,zz,-9.248809e+07,-7.569092e+07,6.736018e+07,313.22525
180,66485.1328125,xx,-7.572552e+07,-7.569092e+07,6.736018e+07,313.22525
181,66485.1328125,xy,8.026165e-11,-7.569092e+07,6.736018e+07,313.22525
182,66485.1328125,xz,-45113.645,-7.569092e+07,6.736018e+07,313.22525
183,66485.1328125,yx,8.026165e-11,-7.569092e+07,6.736018e+07,313.22525
184,66485.1328125,yy,-7.569108e+07,-7.569092e+07,6.736018e+07,313.22525
185,66485.1328125,yz,-51967.15,-7.569092e+07,6.736018e+07,313.22525
186,66485.1328125,zx,-45113.645,-7.569092e+07,6.736018e+07,313.22525
187,66485.1328125,zy,-51967.15,-7.569092e+07,6.736018e+07,313.22525
188,66485.1328125,zz,-9.248809e+07,-7.569092e+07,6.736018e+07,313.22525
189,99737.703125,xx,-7.572552e+07,-7.569092e+07,6.736018e+07,313.22525
190,99737.703125,xy,8.026165e-11,-7.569092e+07,6.736018e+07,313.22525
191,99737.703125,xz,-45113.645,-7.569092e+07,6.736018e+07,313.22525
192,99737.703125,yx,8.026165e-11,-7.569092e+07,6.736018e+07,313.22525
193,99737.703125,yy,-7.569108e+07,-7.569092e+07,6.736018e+07,313.22525
