,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
270,-1.0,30,xx,-9.737466e+07,-9.737465e+07
271,-1.0,30,xy,0.010778088,-9.737465e+07
272,-1.0,30,xz,-0.048926953,-9.737465e+07
273,-1.0,30,yx,0.010778088,-9.737465e+07
274,-1.0,30,yy,-9.737465e+07,-9.737465e+07
275,-1.0,30,yz,-22.14102,-9.737465e+07
276,-1.0,30,zx,-0.048926953,-9.737465e+07
277,-1.0,30,zy,-22.14102,-9.737465e+07
278,-1.0,30,zz,-9.742636e+07,-9.737465e+07
279,-1.0,31,xx,-9.737465e+07,-9.737464e+07
280,-1.0,31,xy,-0.030855153,-9.737464e+07
281,-1.0,31,xz,-0.04242746,-9.737464e+07
282,-1.0,31,yx,-0.030855153,-9.737464e+07
283,-1.0,31,yy,-9.737464e+07,-9.737464e+07
284,-1.0,31,yz,-22.605553,-9.737464e+07
285,-1.0,31,zx,-0.04242746,-9.737464e+07
286,-1.0,31,zy,-22.605553,-9.737464e+07
287,-1.0,31,zz,-9.742635e+07,-9.737464e+07
288,-1.0,32,xx,-9.737465e+07,-9.737463e+07
289,-1.0,32,xy,-0.038731612,-9.737463e+07
290,-1.0,32,xz,-0.04200959,-9.737463e+07
291,-1.0,32,yx,-0.038731612,-9.737463e+07
292,-1.0,32,yy,-9.737463e+07,-9.737463e+07
293,-1.0,32,yz,-23.161999,-9.737463e+07
294,-1.0,32,zx,-0.04200959,-9.737463e+07
295,-1.0,32,zy,-23.161999,-9.737463e+07
296,-1.0,32,zz,-9.7426344e+07,-9.737463e+07
297,-1.0,33,xx,-9.737464e+07,-9.737463e+07
298,-1.0,33,xy,-0.05179819,-9.737463e+07
299,-1.0,33,xz,-0.07193981,-9.737463e+07
300,-1.0,33,yx,-0.05179819,-9.737463e+07
301,-1.0,33,yy,-9.737463e+07,-9.737463e+07
302,-1.0,33,yz,-23.839848,-9.737463e+07
303,-1.0,33,zx,-0.07193981,-9.737463e+07
304,-1.0,33,zy,-23.839848,-9.737463e+07
305,-1.0,33,zz,-9.7426344e+07,-9.737463e+07
306,-1.0,34,xx,-9.737465e+07,-9.737463e+07
307,-1.0,34,xy,-0.030854179,-9.737463e+07
308,-1.0,34,xz,-0.042166267,-9.737463e+07
309,-1.0,34,yx,-0.030854179,-9.737463e+07
310,-1.0,34,yy,-9.737463e+07,-9.737463e+07
311,-1.0,34,yz,-24.428417,-9.737463e+07
312,-1.0,34,zx,-0.042166267,-9.737463e+07
313,-1.0,34,zy,-24.428417,-9.737463e+07
314,-1.0,34,zz,-9.7426344e+07,-9.737463e+07
315,-1.0,35,xx,-9.737465e+07,-9.737464e+07
316,-1.0,35,xy,-0.009910168,-9.737464e+07
317,-1.0,35,xz,-0.012396702,-9.737464e+07
318,-1.0,35,yx,-0.009910168,-9.737464e+07
319,-1.0,35,yy,-9.737464e+07,-9.737464e+07
320,-1.0,35,yz,-25.016989,-9.737464e+07
321,-1.0,35,zx,-0.012396702,-9.737464e+07
322,-1.0,35,zy,-25.016989,-9.737464e+07
323,-1.0,35,zz,-9.742635e+07,-9.737464e+07
324,-1.0,36,xx,-9.737464e+07,-9.737463e+07
325,-1.0,36,xy,-0.051342923,-9.737463e+07
326,-1.0,36,xz,-0.036234513,-9.737463e+07
327,-1.0,36,yx,-0.051342923,-9.737463e+07
328,-1.0,36,yy,-9.737463e+07,-9.737463e+07
